NumeroArchivio,ImmagineRecto (guess),ImmagineVerso (guess),Compound/ambiguous?
1913 pc387,1913 pc387.jpg,1913 pc387 verso.jpg,
1917 pa9,1917 pa9.jpg,1917 pa9 verso.jpg,
1917 pc280,1917 pc280.jpg,1917 pc280 verso.jpg,
1918 pa5,1918 pa5.jpg,1918 pa5 verso.jpg,
1918 pa1,1918 pa1.jpg,1918 pa1 verso.jpg,
1919 pa11,1919 pa11.jpg,1919 pa11 verso.jpg,
1919 pa8,1919 pa8.jpg,1919 pa8 verso.jpg,
1919 pa2,1919 pa2.jpg,1919 pa2 verso.jpg,
1923 pa15,1923 pa15.jpg,1923 pa15 verso.jpg,
1923 p251,1923 p251.jpg,1923 p251 verso.jpg,
1923 p20,1923 p20.jpg,1923 p20 verso.jpg,
1924 p304 (a),1924 p304 (a).jpg,1924 p304 (a) verso.jpg,
1923 p304 (b),1923 p304 (b).jpg,1923 p304 (b) verso.jpg,
1924 p239,1924 p239.jpg,1924 p239 verso.jpg,
1924 p99 (a) e (b),1924 p99 (a) e (b).jpg,1924 p99 (a) e (b) verso.jpg,YES - verify manually
1924 p150,1924 p150.jpg,1924 p150 verso.jpg,
1924 p98,1924 p98.jpg,1924 p98 verso.jpg,
1924 p276,1924 p276.jpg,1924 p276 verso.jpg,
SN13,SN13.jpg,SN13 verso.jpg,
1924 p 98,1924 p 98.jpg,1924 p 98 verso.jpg,
1924 p 101 (a) e (b),1924 p 101 (a) e (b).jpg,1924 p 101 (a) e (b) verso.jpg,YES - verify manually
1924 p224,1924 p224.jpg,1924 p224 verso.jpg,
1924 p 306 (a),1924 p 306 (a).jpg,1924 p 306 (a) verso.jpg,
1924 p 278 (a) - 1930 p278 (b),1924 p 278 (a) - 1930 p278 (b).jpg,1924 p 278 (a) - 1930 p278 (b) verso.jpg,YES - verify manually
1925 p220,1925 p220.jpg,1925 p220 verso.jpg,
1925 d 673,1925 d 673.jpg,1925 d 673 verso.jpg,
1925 p 232,1925 p 232.jpg,1925 p 232 verso.jpg,
1925 p277 (a) e (b),1925 p277 (a) e (b).jpg,1925 p277 (a) e (b) verso.jpg,YES - verify manually
1925 p175,1925 p175.jpg,1925 p175 verso.jpg,
1925 p254,1925 p254.jpg,1925 p254 verso.jpg,
1925 p174,1925 p174.jpg,1925 p174 verso.jpg,
1925 p226,1925 p226.jpg,1925 p226 verso.jpg,
1925 p281,1925 p281.jpg,1925 p281 verso.jpg,
1925 SN 6 (P 12),1925 SN 6 (P 12).jpg,1925 SN 6 (P 12) verso.jpg,
1926 p307,1926 p307.jpg,1926 p307 verso.jpg,
1926 p19,1926 p19.jpg,1926 p19 verso.jpg,
1926 p100,1926 p100.jpg,1926 p100 verso.jpg,
1926 d31,1926 d31.jpg,1926 d31 verso.jpg,
1926 pa14,1926 pa14.jpg,1926 pa14 verso.jpg,
1926 p225,1926 p225.jpg,1926 p225 verso.jpg,
1926 p303,1926 p303.jpg,1926 p303 verso.jpg,
1926 p240,1926 p240.jpg,1926 p240 verso.jpg,
1926 p25,1926 p25.jpg,1926 p25 verso.jpg,
